Accession,110714_yeast_ups1_2fmol_r1,110714_yeast_ups1_2fmol_r2,110714_yeast_ups1_2fmol_r3,110714_yeast_ups1_4fmol_r2,110714_yeast_ups1_4fmol_r3,110714_yeast_ups1_4fmol_r4,110616_yeast_ups_10fmol,110616_yeast_ups_10fmol_r2,110616_yeast_ups_10fmol_r3,110618_yeast_ups_25fmol_r1,110618_yeast_ups_25fmol_r2,110618_yeast_ups_25fmol_r3,110618_yeast_ups_50fmol_r1,110618_yeast_ups_50fmol_r2,110618_yeast_ups_50fmol_r3
P06396ups,"962827,7084","860819,7594","717558,1586","1292825,007","1012073,639","1898500,038","2040388,398","1363646,563","1147206,13","3977646,732","3175519,279","4937132,131","8554751,066","4826300,691","5421630,213"
P06732ups,"730309,0971","687612,6361","667809,5381","1027362,027","927767,8251","1532928,579","2048625,306","1410593,319","1028556,947","4429006,872","3043355,045","4558645,169","7707575,253","4043728,196","5371575,872"
P10963,"33456445,33","28704543,27","25175965,79","33943741,68","39697910,14","31133132,97","21782270,55","13612004,74","8196239,179","12639769,27","10736723,37","15700647,96","13930542,59","9349450,235","13167008,91"
Q01574,"11998776,35","10502139,4","8975147,428","12590122,89","14178548,82","12327892,15","6458364,439","4676394,631","3692104,997","5025111,029","3781024,419","4902427,33","4775090,912","3515792,755","4282395,029"
P28240,"7525134,372","6449648,306","5418630,992","7764242,081","8410086,356","7268722,745","4793312,675","3033296,154","2614377,164","3857557,293","2734129,302","4237223,476","4354274,098","2748995,023","3733131,921"
P16547,"6107582,567","5676859,142","4691337,508","6363862,318","6762877,231","5904592,047","2937447,004","2299742,186","1793454,441","2368097,77","1883595,76","2450463,145","2268476,387","1665088,465","2147671,359"
P19882,"9596568,955","8443416,047","7086841,503","10041774,95","11958022,66","9162212,423","5705627,755","3842406,604","2910720,617","4155119,084","3383772,185","4463692,059","4092661,325","2962502,123","3680434,263"
P46367,"20870935,81","18356521,26","15788197,23","22011855,23","25291452,71","19471209,15","11654908,38","7920026,185","5194866,385","7538304,577","6529057,358","9220701,939","8026191,523","5792589,333","7393995,556"
P54115,"8287038,074","7075346,985","6228274,545","8995166,036","10071054,55","8166640,89","4404802,057","3104012,499","2095029,579","3259215,84","2675908,711","3660510,09","3259529,544","2366197,907","2985737,708"
Q00955,"1338054,741","1192276,957","991231,3315","1431876,379","1685934,305","1270509,998","694229,8711","489387,7762","331064,3062","500798,2439","452467,1795","631448,1357","602926,8634","422419,4007","525051,9209"
P00549,"5399359,04","4561931,515","3999977,141","5673839,476","6614759,496","5167061,063","3140050,786","2073461,473","1538345,434","1983342,476","1643401,051","2299678,812","2157427,644","1547674,259","2173756,518"
P32316,"7383317,16","7276546,923","5992172,955","8465417,85","9276991,185","7328791,443","4354976,982","2954907,864","2427171,202","3110909,479","2442567,09","3301689,004","2753798,111","2137983,154","2833807,401"
P20967,"2393867,634","2142672,672","1783800,591","2609139,477","2915005,024","2265895,923","1616653,928","1070417,856","842183,127","1106911,702","916446,3327","1266818,767","1166888,03","853169,4065","1079134,5"
P32191,"3183629,955","2934178,814","2499579,534","3345697,056","3915406,501","2967045,309","1726725,598","1190056,769","913164,6382","1196559,025","982188,8023","1308071,786","1231524,085","876409,4425","1075681,626"
P00830,"12109898,91","12696502,15","10651388,6","14178563,35","16061951,5","12543992,99","8873965,116","5583180,919","3384173,006","5357525,444","4847146,41","7036732,843","5854438,526","4038081,551","5025430,192"
P07251,"14523158,41","13465458,21","11245658,77","15336441,09","16876898,86","14222479,66","7504953,869","5223179,612","5167114,287","5133000,887","3824866,779","5096687,17","4582265,092","3527957,905","4864549,006"
P25694,"2082140,394","1851399,308","1593643,663","2255141,38","2538331,942","1920162,809","1219146,34","724285,3552","522026,8777","809382,3389","659013,0182","962793,9936","972134,9967","719216,3672","885681,4635"
P60010,"5078193,787","4154429,73","3523894,328","5548105,857","5902924,581","5119586,469","3000978,165","2118890,413","1393770,359","2241569,023","1766733,005","2496648,282","2324860,285","1622072,468","2197878,357"
P33327,"2126000,811","1833920,882","1524814,531","2157355,202","2310142,683","2041934,025","1346224,153","827735,4183","730256,9936","906337,1024","678827,9425","937913,7082","991432,0328","687627,3102","925399,3522"
P01579ups,"348848,7238","319326,0035","271138,3623","437069,3518","380460,9145","624088,3694","739083,5693","463968,2913","408587,1146","1484547,819","1051056,539","1433162,191","3019042,434","1588451,446","1984560,615"
P15705,"2311767,526","2079508,064","1722251,335","2414015,553","2771357,773","2181214,756","1159631,748","835777,8488","675642,9339","952089,7585","715467,5904","966992,254","884227,5563","630568,5769","811861,3618"
P17255,"1698581,303","1500187,759","1237448,71","1818379,096","1904431,688","1639834,215","800040,2065","506632,2356","430292,2349","561322,5664","401156,2259","554712,0417","649814,437","443685,6001","711480,7967"
P08758ups,"399749,2538","412965,6502","327566,1496","564339,816","447156,079","829096,4332","1045463,486","691476,1876","668316,0916","1877105,238","1514013,369","2000837,46","3274994,413","1903860,298","2143960,399"
P12398,"6620972,044","5978871,042","5087338,164","7149739,628","8205195,013","5961993,469","3924468,581","2817813,429","1773774,544","2920613,453","2574688,584","3532888,319","3189118,563","2185517,788","2628603,382"
P12709,"3736723,956","3220919,884","2829012,697","3915268,023","4407030,44","3546255,568","2089506,225","1386666,311","1173629,202","1775594,178","1339663,013","1848763,369","2011830,634","1393471,259","1778470,853"
P16387,"2104474,435","1799140,178","1527607,034","2202167,424","2481637,166","2054562,235","1382255,123","776885,4085","613089,6016","773109,297","620372,8641","873576,2283","874352,3713","633721,7753","798968,721"
P32589,"1215589,272","931769,0308","747879,0027","1238681,931","1337244,678","1132664,921","821783,1602","493272,4003","299856,3973","555256,2209","427842,5441","701200,2759","659455,4434","436803,0288","679208,1736"
P22515,"1325800,38","1265258,664","1027636,987","1454980,585","1577792,453","1357693,588","718699,9325","528490,4331","441480,6717","528460,9781","402889,816","540395,4988","486475,4741","387550,6108","481783,1287"
P37291,"2717610,461","2272450,726","1984615,909","2810475,849","3095192,985","2692436,37","1644640,516","1017595,374","675680,3837","879404,159","729939,344","1041727,115","1010250,377","669653,7524","837462,6716"
P41939,"2485762,14","2169907,885","1843444,071","2604373,457","2928034,496","2363909,439","1397717,823","1018496,81","700651,6582","959213,5276","821033,243","1144127,821","1026128,413","735630,081","968537,1426"
P14126,"4026747,55","3273564,546","2828892,816","4199652,331","4516928,814","4009262,095","2195829,394","1524333,467","1148418,333","1573456,005","1201279,343","1622467,818","1495135,014","1166239,264","1370700,403"
P16083ups,"503610,1647","482483,657","398388,5117","749013,855","541991,1709","1156921,16","1264698,649","746538,3755","985761,5285","3312310,189","2029886,323","2571323,063","5389414,444","2736475,369","3462997,932"
P32582,"1897852,534","1609371,842","1339337,628","1996695,326","2239616,538","1651440,717","945751,958","575599,474","465621,9428","597894,4285","498143,7073","643487,356","590713,7107","460884,4371","553158,2358"
P39676,"4523027,477","3778270,101","3702349,628","4962492,855","5648156,727","4028700,916","3158069,863","2004329,99","1045512,868","2026823,152","2018249,032","2894948,191","2433180,581","1685019,927","2385926,851"
P52910,"1932613,244","1756008,065","1324282,827","1934459,178","2085568,81","1854628,223","952286,631","681449,8289","570001,4586","620981,8082","503631,3546","689391,4608","688042,867","494788,2513","668040,2244"
P00890,"8874083,803","7319270,56","6539641,476","9025973,483","10388854,56","8421327,973","5709791,181","3780325,364","2650039,441","4329552,743","3701206,084","5299452,053","5123833,44","3370968,25","4429533,009"
P09624,"2966252,445","2619462,298","2260394,631","3112682,498","3417302,954","3027094,483","1605204,944","1071725,569","1030016,952","1210711,341","882815,8447","1214771,632","1278745,394","952670,7067","1066175,743"
P43567,"2269092,168","2009095,553","1749462,925","2353283,523","2803531,419","2209799,875","1386265,328","903702,1861","620014,6933","942401,8087","792850,9135","1102908,859","1021595,828","672920,2307","835239,583"
P46655,"1163005,004","1051768,567","868470,2208","1232414,824","1324779,798","1139731,417","589581,2636","387873,5428","351751,0379","414109,3775","330497,1293","477068,8784","415635,7687","322197,8559","397055,0512"
P63165ups,"226667,3109","216848,1523","179657,3472","330979,7486","305742,4724","492186,3374","617025,0922","481012,3457","324111,261","1444328,186","1128904,088","1596855,214","2239199,19","1382567,348","1493013,44"
Q12428,"2264360,412","2022964,599","1733496,055","2483276,833","2782286,678","2201143,963","1539022,553","920403,2489","669617,7986","998860,9719","766253,6007","1163177,75","1300380,706","817375,8565","1056433,895"
P00709ups,"383613,77","360306,4283","298304,72","586841,8583","421222,8561","837777,1886","1213148,992","638472,0343","546637,4115","1962139,511","1491005,684","2274905,263","3390702,634","2101060,83","2265467,823"
P01127ups,"1293981,717","1141952,999","926847,6116","1644434,185","1401386,208","2455877,132","2478942,512","1803784,331","2165503,845","6340325,163","4675473,965","6261144,085","11146905,18","6381902,752","7122834,927"
P07256,"2810921,129","2511912,446","2101908,306","3077884,704","3255869,905","2851609,711","1579470,617","1024908,987","992218,3899","1058475,495","824409,6313","1108852,476","993230,8837","768252,6691","972777,0369"
P07259,"754400,7399","679991,8153","587852,6475","801049,6254","950988,0225","734216,7278","453465,3249","289562,7851","144837,9237","261851,4698","258152,1998","365263,1797","348719,4743","233058,754","301958,836"
P17505,"4692389,019","3898470,233","3533941,566","4769543,426","5674000,809","4120300,165","2762073,791","1757358,636","1083951,199","2010161,83","1872534,502","2690527,032","2541279,431","1560374,109","2133432,255"
P55957ups,"546293,9918","425800,0776","347809,8567","662925,1162","576046,3168","953322,489","1641238,418","891921,6248","546712,0812","3910053,267","2660368,17","4367307,793","7357601,679","4552972,808","5567755,164"
P05413ups,"632221,2494","594794,6787","483383,1763","813859,2593","758068,3049","1096479,812","1029672,291","756976,0696","902662,0288","2181340,742","1645317,329","2084145,1","3744397,216","2354893,93","2523473,806"
P16474,"1303631,979","1018007,712","900070,9364","1300601,755","1457018,328","1196788,391","610678,521","443935,6653","341288,5263","488269,8292","379536,9229","573594,3902","557572,98","416226,8522","514284,194"
P17709,"2421009,086","2094511,008","1883628,973","2578676,861","2865737,064","2374826,475","1551150,322","1053576,349","764451,4626","1021837,243","847044,7941","1156537,167","965196,7287","789190,0606","928856,5912"
P99999ups,"636792,9607","589824,2247","474534,12","854668,313","711192,558","1142896,812","1207506,276","803330,4589","788154,3537","2094541,343","1592538,609","2221226,183","3564949,935","2383052,382","2472680,776"
Q02207,"750581,8296","609503,7308","546815,9525","854994,4811","935899,0174","782352,0244","413577,3247","268078,6541","222692,3533","399132,1136","312761,6938","484234,5178","565476,4392","367944,8187","430579,1667"
Q12118,"1658960,7","1529019,82","1285816,082","1783456,311","2061544,412","1514466,715","783542,6218","557082,8771","522801,5028","683509,7533","558037,5835","707504,7406","720473,5866","553128,4576","682602,41"
P08263ups,"842454,3725","783449,5102","598690,2052","920524,2503","940304,8467","1176085,274","657169,7146","512281,5364","534458,2431","1178049,419","792029,1311","981211,8878","1766960,511","1121292,349","1261402,555"
P16861,"1055638,807","869701,9507","762674,4906","1096467,73","1182359,568","1013281,324","509404,558","345699,2339","255166,5536","375327,5265","303843,3565","430264,4808","425902,5259","291203,8513","344947,2662"
P21801,"3042305,806","2683947,921","2297033,07","3150265,954","3346617,983","2942274,204","1780301,634","1222491,729","1085141,144","1303833,868","987057,5334","1260124,697","1093714,176","806038,3258","968397,5182"
P42826,"2228797,934","2076969,818","1773440,532","2466802,185","2699758,089","2183502,357","1167700,09","744557,9999","793019,4188","941762,5149","703658,799","899796,5374","849647,0882","643785,0024","772823,1047"
P53312,"1497123,85","1337388,759","1115197,19","1580111,087","1783788,96","1429740,701","802478,3444","558013,3038","396834,7075","598569,6222","477844,3141","663736,962","804456,6327","476511,4361","617445,5684"
P02994,"14937176,63","13607071,99","11264619,08","15617399,84","16889579,69","15081775,15","8543160,888","5456157,66","5866789,903","6279356,882","4759777,593","6173462,773","6149422,563","4460128,132","5450447,361"
P06168,"1721061,156","1576085,485","1234698,21","1819486,293","2102151,581","1536126,92","1064962,05","664993,0147","448873,9469","772335,5272","646949,5484","1040673,896","938434,9918","612649,1214","825217,076"
P07257,"3615016,199","3135034,385","2584953,047","3744905,478","4183244,073","3360233,51","1868417,508","1351808,618","1090824,624","1427452,879","1111888,433","1431916,851","1254902,865","925805,4566","1226401,075"
P09201,"2139654,258","1739086,521","1620281,453","2164129,441","2281383,936","2002875,85","1395303,799","717880,8881","551495,6221","763834,281","597782,4283","790514,5963","787137,8626","532701,1365","699645,7858"
P09436,"652734,8439","626824,9399","529332,7685","722333,4884","826896,5221","598419,1173","312721,0372","212352,609","156557,4354","230253,4529","196037,1967","260807,0112","272966,8935","195266,8482","215560,549"
P10591,"12000693,42","11007497,28","9389116,464","12433501,26","15420565,22","10421216,5","6335907,819","4482141,045","2935767,325","4730116,159","4327888,992","5650253,324","4932550,803","3594315,798","4207237,461"
P14540,"8481312,06","6783807,601","5716525,809","8043856,608","9201835,251","8205656,195","4782741,368","3038084,703","2303200,447","3344791,302","2449481,046","3514091,796","3344903,766","2280933,86","3312910,639"
P16140,"625441,234","535720,9241","459589,8135","653966,9044","731533,5008","589569,5039","307542,5795","197824,3901","122648,6445","207601,2495","154218,854","252198,6267","250090,192","155160,4818","253661,1127"
P22137,"616444,2391","529454,9014","482057,6201","651040,4643","767853,9492","589144,2645","294009,5462","218005,5805","150579,9803","221984,7994","186144,909","236440,3704","319300,0935","184350,3933","216144,9806"
P26637,"621195,3158","636543,3722","485663,8997","678262,9043","746537,294","612261,2647","259146,4573","183411,4399","130127,1756","166051,0465","145990,9629","216282,7841","190840,2707","133095,5787","164611,1447"
P38088,"834699,6921","680006,4168","584157,5779","884220,3543","892440,4479","798466,0832","462689,5","284642,6855","245187,7712","274454,2658","206920,6904","295172,4482","288822,9666","204236,2281","267863,1061"
P38972,"563795,5084","496608,7371","459409,2293","620341,7709","630615,4767","585118,6485","287499,5332","186370,6476","172918,1317","212024,058","150427,1223","208486,707","194593,2222","152079,1697","183857,9746"
P41159ups,"272219,9511","243113,6985","197625,0977","356994,67","287859,0685","554218,9288","767814,2551","574370,1193","365739,7575","1933778,664","1419431,005","2081643,055","3258973,101","1990943,335","2238261,748"
P41805,"1785340,705","1508407,24","1235405,637","1864747,945","1942298,524","1798974,047","1162929,288","737077,3945","454420,4893","676838,2991","515791,8301","814390,6817","852149,007","549149,1918","716210,616"
P61626ups,"646882,0525","577806,3458","500842,8252","862657,529","698033,5972","1466340,018","1660736,302","1108926,236","854611,9709","3319336,583","2556066,495","3712500,775","5792721,239","3319415,411","3785672,516"
P68871ups,"403387,9635","344879,9651","306026,8425","501930,5971","508136,6039","758190,6456","855422,9557","545657,0671","564286,1062","1871486,384","1433909,092","2086876,272","3604672,467","2188562,195","2461793,945"
Q00711,"2541491,969","2360735,024","1928408,644","2704036,352","3046325,372","2563711,829","1119196,946","794119,9129","650818,9902","968923,1307","720886,6646","1041237,554","916958,4401","660060,6903","909613,646"
P01031ups,"689279,6843","591448,6553","472936,1463","833665,2522","678599,6069","1571362,01","2038077,848","1665019,38","1131606,718","4270379,088","3579515,08","5058750,966","8140722,745","4507921,621","5084653,483"
P04147,"2045978,926","1891312,686","1598945,521","2197004,529","2518933,668","2011893,118","929389,3899","616473,4716","457455,5497","652834,7535","502612,5593","731251,3327","744645,993","518179,4154","661503,3575"
P05317,"2342156,528","2012844,582","1716386,914","2502130,849","2970635,18","2247223,144","1593023,503","1061149,365","618633,423","1108176,493","1040625,333","1538000,711","1553818,722","1071049,67","1363733,314"
P05694,"734791,6651","714016,586","592824,5129","841196,7883","928807,0512","715710,8829","394891,3792","286852,8972","227215,0293","308496,2553","250566,6767","361975,9779","305201,8085","224716,5805","294152,8938"
P17967,"836975,6189","720136,3901","600512,7158","829653,5883","897400,9265","807427,2467","464934,6559","332198,0958","264727,9469","354933,7395","250898,6392","327123,8707","317084,99","261017,2011","324280,6128"
P18239,"5340900,341","5064167,801","4215025,294","5742310,354","6420234,311","5261906,978","3091486,097","2361659,744","1680119,492","2089905,127","1801900,113","2522242,543","2065436,177","1575200,3","1829012,121"
P25087,"751583,2967","713787,136","567158,6259","802024,1312","911191,8068","744113,4565","419296,2208","261518,8524","201867,9907","260851,1297","192495,5419","275640,0751","260398,8132","201439,926","271687,7465"
P53598,"2842023,069","2678371,637","2252414,575","3045083,115","3442432,979","2787458,723","1534160,191","1018890,815","921656,4378","1012696,542","826926,7248","1116539,539","940650,3238","797161,7663","1016344,376"
Q03690,"557062,6171","517379,6411","422220,188","588630,479","634218,0681","536154,1665","239158,3561","161929,4438","157753,1406","192678,7219","136896,8942","175826,8555","153971,2986","128871,4694","149602,4391"
Q05506,"474787,089","461819,8023","397802,188","521965,1866","600628,3148","455051,5696","270675,8876","198589,7855","148117,3595","203771,0604","183440,2452","242629,5189","217487,4683","141142,3011","183940,5989"
O00762ups,"277800,0759","254036,1065","228351,2386","385348,3221","369799,8484","418217,1935","736731,2333","342255,5322","219362,4091","1349021,13","1007334,413","1698545,467","2895771,326","1479622,013","1816008,517"
P01112ups,"128338,3788","93492,84353","78800,97227","172152,082","172277,334","335974,5701","617609,5825","452118,445","245133,5952","1668847,868","1307593,377","2148566,697","3242842,877","1732265,415","2095874,923"
P02753ups,"317059,1124","258146,566","291478,0796","412592,2301","354258,9847","470096,9546","486313,6735","383333,9142","301827,1416","978532,242","793077,6696","1162141,408","1827939,637","1133748,396","1179482,126"
P04801,"740348,0302","667127,6181","611713,8511","758384,4619","824728,1863","746866,255","454783,4171","326343,2038","223609,9326","314478,3702","238383,8652","353405,8942","284157,9945","211123,8068","286636,0882"
P05750,"2933965,131","2674051,363","2325321,628","3178294,209","3565375,201","2785517,952","1501001,226","1034794,511","733173,3745","1150924,276","979373,5412","1242401,655","1130573,544","828382,768","1016971,861"
P06105,"346011,9886","290606,0038","255976,25","341493,8701","407345,0076","326035,171","160729,1962","132612,0848","113983,7547","152952,3655","131478,3723","172745,8521","136752,3977","110823,8416","145077,2899"
P06169,"2808758,857","2555091,094","2120478,129","2963172,007","3370284,126","2758071,786","1594730,856","912152,1585","912873,5626","1324621,353","814814,4296","1138771,878","1566687,834","934945,3628","1231208,216"
P08417,"2632559,77","2358698,482","1944313,249","2665425,256","3145651,238","2535958,235","1318289,663","925520,5689","661413,4936","979387,9587","769989,4515","1116557,932","978659,0924","742869,865","937242,6188"
P09457,"2570833,474","1901210,172","1776286,524","2776571,198","2708872,568","2272458,928","1525799,158","999536,99","664881,2863","1008301,479","846768,0481","1219246,178","1037449,617","818308,435","991023,5885"
P15891,"353427,5042","290539,4934","245856,7152","342566,6749","405150,931","305792,1526","173338,0516","125540,8397","74013,4128","141186,4618","116402,0658","189742,6666","168304,2558","111582,6497","146973,3682"
P15992,"12511861,13","9051861,314","7924220,635","11907251,8","14237228,01","12025596,15","10130647,08","5374697,08","4123834,276","5914521,837","5514725,795","9187064,009","8419535,754","5129044,028","7474863,992"
P17536,"540593,494","508360,6744","435248,1363","581888,3116","663399,4519","537823,6614","249272,5602","202830,2937","169504,7035","248144,6225","185359,3874","256535,2546","214573,7318","174620,7069","213004,1072"
P28834,"1986629,21","1841363,887","1561072,648","2185781,558","2437833,623","1936311,655","1488786,488","851814,6528","637706,2574","787003,1219","690004,0084","948224,5271","844725,8889","604746,7562","783772,9523"
P32340,"1922415,721","1768063,382","1454664,623","2082009,937","2251107,963","1947828,739","1111194,924","645146,3868","566747,1835","637214,6662","501432,684","751721,5032","749321,796","586678,7803","702300,596"
P38009,"978933,9224","864756,2216","721944,4974","1069475,12","1204482,7","958985,5224","658714,4763","430986,5234","294814,5551","519756,057","409379,3169","628883,8575","800412,1855","480809,6606","589716,708"
Q06830ups,"662203,0409","641652,1471","550990,6126","954240,744","837227,3864","1386844,574","1498125,132","1244021,745","980331,6373","3375195,899","2751325,489","3725896,98","5627401,465","3538985,489","3725134,938"
Q12363,"2494159,89","2335082,46","1920707,885","2703524,383","2930953,593","2556798,307","1210772,072","798974,8877","821476,0788","995202,0686","624891,2888","758470,484","731709,4525","566088,1932","674564,792"
P00175,"863359,8654","771575,888","647234,4766","934469,2321","1099748,25","835280,2833","521737,9354","330669,4795","293767,2049","432259,8798","330479,3199","466578,6669","477430,3248","316294,4396","407948,159"
P00441ups,"639228,6534","560472,6339","475764,9799","828743,6824","647963,3848","1307664,845","2121179,982","1166016,443","951266,9898","4225779,217","2637925,004","5282184,631","8681023,738","4652277,693","5606749,383"
P00918ups,"325477,2591","299538,2578","241757,5058","462756,2704","354539,548","611995,2029","823514,0188","513573,8998","542487,4169","1478628,897","1083636,194","1522001,788","2616342,371","1653441,418","1825208,842"
P02992,"861248,0824","738457,6367","617668,1714","938932,4932","1048108,128","865372,5421","454191,8463","249872,7811","231919,5402","305717,3076","269023,1962","442417,6202","376676,5305","252884,813","336927,3992"
P04802,"613376,6639","546477,5859","432574,4188","657940,8176","728403,2836","634528,985","356544,2448","249512,1165","165686,0855","267758,832","225423,3975","326858,8096","288478,4502","201557,1261","242345,5653"
P07244,"652531,016","559572,4719","524456,9403","669411,1388","820023,4825","625673,2484","293973,6211","176099,3758","115242,9483","200245,9034","169585,98","290803,4517","280949,4455","193709,2115","260271,3234"
P0C2I0,"2458632,799","2246716,569","1855266,194","2604825,485","2913291,709","2501729,211","1550621,318","1049666,628","857952,5466","1079214,876","813344,7893","1179599,881","1107726,274","787877,9024","951320,8222"
P13188,"222292,0522","202056,8923","175259,0685","226709,577","269158,3159","192986,696","119051,3677","81428,48787","68246,67914","109186,8901","97622,00971","135591,5005","144766,5599","86735,09213","110960,9683"
P15559ups,"6354689,599","5793298,796","4757512,644","6099099,154","6911446,236","7178268,055","4039794,423","2667427,392","3635313,665","4697370,42","3121597,32","4000829,087","5561145,417","3534236,738","4249617,363"
P19262,"1037904,432","767430,3184","682433,9088","1084492,605","1273555,866","1063448,332","733024,4802","447800,6937","328701,4816","544460,8461","472209,213","704360,2557","690619,4105","447484,7567","577184,2244"
P32454,"295043,1112","259330,8741","226784,0258","315774,7369","333050,0896","284464,3776","219830,2941","135708,0814","94474,08112","132475,199","111971,6821","189970,5325","209367,9842","116327,7277","177401,8456"
P35271,"3642712,044","3592029,921","2927669,183","3982489,021","4390944,575","3578413,718","1742446,644","1246215,86","1268771,185","1471819,301","1138518,819","1329344,376","1218719,096","972203,0647","1187260,551"
P38077,"2387768,469","2069594,816","1723422,562","2377697,981","2576980,156","2262787,413","1181450,494","781156,668","663707,6819","820093,6431","600762,0296","829163,9609","660761,4265","505636,9994","654354,8723"
Q05050,"357389,6348","313692,9592","265410,2223","370590,6746","410711,4654","350286,9896","179329,9371","116868,7671","82586,5853","105572,7384","86302,07707","132958,5775","134196,9917","88925,68809","109734,0081"
Q05911,"1444468,438","1271784,072","1081573,796","1549167,752","1693487,54","1410268,243","725163,1485","502053,4144","488213,6736","525643,8484","329383,1263","425537,9181","399070,9108","317168,1733","383822,2366"
P00331,"22590874,87","18335494,05","16166996,6","21668845,89","24710877,62","19830741,16","13734568,14","8505319,041","7232748,221","9132928,278","7685663,004","10823823,41","9852899,675","7152417,507","9255561,926"
P00925,"1706209,903","1480091,505","1281163,957","1694710,069","1975899,465","1557496,528","1023777,272","655173,4945","469257,3179","736532,7468","634254,1026","832012,9006","788159,6037","547724,7816","703557,9718"
P04840,"7597685,744","6929188,725","5790155,991","7767379,152","8517651,31","7177192,898","5052692,315","2991413,553","2349403,256","3273201,625","2753809,112","3928863,906","3540314,098","2267248,422","3177058,022"
P08679,"700224,0295","655140,3512","545189,2192","793429,2226","920651,5307","683461,4149","418527,9992","321849,0139","229890,5049","365949,1936","314465,5224","413792,5691","413981,1486","285557,4862","399299,8526"
P14832,"3477080,094","3060498,213","2461110,144","3490681,166","3727531,476","3469183,745","1745927,109","1147685,336","843934,3995","1025497,872","739849,6257","1116988,572","1217810,865","882964,4939","1132608,672"
P16521,"1108526,771","949805,3272","827079,6357","1148787,197","1251800,081","1063859,842","660614,1279","406484,4156","333672,2777","382907,0039","313108,5825","468468,5344","443296,3506","341636,7834","415503,0575"
P21243,"813953,548","749186,7875","606768,5106","855142,7138","968471,5882","759771,9578","375593,6663","251197,1689","240258,0653","309405,2931","250176,5265","324136,0865","311017,3088","211265,9723","283704,0977"
P21264,"524755,9653","465872,7747","387232,2607","562072,9379","616919,0461","561575,8804","291129,6998","196357,5555","163677,6246","205091,75","173816,6407","220751,2265","209107,6906","152663,4746","190155,1828"
P23641,"1299378,448","1260847,062","1231137,057","1550148,887","1684989,975","1312332,34","885882,0232","648929,7373","443616,4558","693090,0888","644229,7511","988980,3407","1014235,706","584038,2918","794042,9437"
